player_id,variant,seat_count,amount_won,hands_played,rn
zGHPEUdGWK+AF9NEO/FJ+w,600,6,-17261.6,7467,8
EPXfe4Rt6M3MQrCXL5r+Cg,600,6,-16477.57,10172,9
X/CjowoxW8zzIO+W7cxlvg,600,6,-15018.47,6207,10
njJ52HGWsGAIv1/C3eELtw,600,9,-19060.75,16324,1
+hqf8dh4yTDCfwOxxxJnZA,600,9,-11652.65,2636,2
6Jf/s/JauipNepaM3sP4WA,600,9,-8330.75,5556,3
svvFlHyBL+Dm2Q2qrRwVqA,600,9,-7795.0,846,4
gQXW/RVKD9VHNntt8VsYCw,600,9,-5766.1,3895,5
WT7Wg8WPTJudTOgk6+1M8w,600,9,-5596.6,246,6
6jz1OfFcqPSBjCotMjvXjA,600,9,-5308.95,3306,7
aL/UT/IE1lz/Pul1f7md3Q,600,9,-5248.55,392,8
wphaS//9LRA6+67bhWkJLA,600,9,-4994.15,366,9
Uec3uCKzpCYfvRzOcprsaA,600,9,-4988.9,1313,10
SrkslyClMciIc5OgWLAFqg,1000,6,-75482.36,11711,1
WrnVv8cNnI/t0rCgSXOt4Q,1000,6,-72314.58,6356,2
6oEh4WQ00jAf7hfSuWm0Vg,1000,6,-71284.67,6359,3
S9OSI1J8Gu/4ifBnUgyAeg,1000,6,-62758.63,4260,4
HcwQD0ZlpS8tcB1H3a5LmQ,1000,6,-59277.06,14046,5
7+EsUOyBqlDthfFTHFH2NA,1000,6,-58628.53,6818,6
g+TyD8vo3XKAD/8R5Cz5Aw,1000,6,-53615.25,11132,7
ps8WM7oemJT9JZlJG999WA,1000,6,-47823.44,1782,8
xZRWIyRkX8k+GckUMdOa5Q,1000,6,-47476.3,5372,9
+hDnS3qG9CSlquo3hMmRmA,1000,6,-47332.08,21963,10
SKPTemuzsQCg9dvPijYBag,1000,9,-27575.68,13585,1
H/55aK4Sgl3B8A9bHghYVQ,1000,9,-19945.2,396,2
nF4Rb21C9jVnUlhc+opF6w,1000,9,-19035.0,528,3
n0iZAt0ItCuErEdzlKo3DA,1000,9,-18619.55,3571,4
s1JSnPyxnrA0hqPQoqnvZg,1000,9,-13888.12,1464,5
OpRG/NeMuqUFbs1S0gFAEQ,1000,9,-13406.25,1197,6
GMOv2nPl6rwcpilFzlOayA,1000,9,-13077.56,4499,7
Pz00Xlv8m4yMZgIzc4gBfw,1000,9,-12934.25,1702,8
8t2qK+r+smWBYKp3pcoWcw,1000,9,-12554.45,3453,9
NocS7/P/sHc/ahJh5Xwuww,1000,9,-12175.2,1539,10
